from_address,to_address,block_number,source,csv_file_path,csv_row_number,transaction_hash,token_address,value
0x6331df6755f9835302b4b36b48dae9e82004cbf5,0x06b7f63332835c9632fc95e0ecafd3e064b75d64,25113689,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/transaction_25113689.csv,156,0x432bcd9cd33fabf88ab2e9f6fa06717fa322b295e601902710028778abbae117,,746705451185776
0xc0dc71bdb49bb5c03ee11290990a709722771e62,0x93a5fa85128d68c9cd36b2fbb1c5b1ad3e6b8888,25114611,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114601_25114700/token_transfer_25114611.csv,127,0x3c8821d2d109700eccbebedd8b4ad2e540e292e10a72f1d3f9f9f5cce899b152,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0x0000000000000000000000000000000000000000,0xc0dc71bdb49bb5c03ee11290990a709722771e62,25113716,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113716.csv,282,0xf869bd9fa409778d6cd525dfda798331ec2799b02df72896330a8d7aa03eb885,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,0xc0dc71bdb49bb5c03ee11290990a709722771e62,25113692,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/token_transfer_25113692.csv,138,0x5b17167d70f31d01cc9e7e1c3087a7f027d70dfd7529d6e11aee43832b6615b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15200000
0xfee53db5f7f8dc721ae0efac1ca76c3a44d37535,0xc0dc71bdb49bb5c03ee11290990a709722771e62,25113690,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/transaction_25113690.csv,104,0x1d4efabb6d1232be383ef3529d044e6876395f7292428b416e4c9617fc810f05,,746702765270276
0x74b0fd8d2118d7a6ffe81ca44056a166283bdcc4,0x93a5fa85128d68c9cd36b2fbb1c5b1ad3e6b8888,25114611,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114601_25114700/token_transfer_25114611.csv,133,0x507836dcd22640d504684d256c10dbb1ce3b92cbe7f0b26fc8c4b28b88921038,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0x0000000000000000000000000000000000000000,0x74b0fd8d2118d7a6ffe81ca44056a166283bdcc4,25113723,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113701_25113800/token_transfer_25113723.csv,299,0x09b1e895c5ef523597c925eb30b73b367f12aab53be3ce68937a14895e3852b9,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
0xd15fe25ed0dba12fe05e7029c88b10c25e8880e3,0x74b0fd8d2118d7a6ffe81ca44056a166283bdcc4,25113692,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/token_transfer_25113692.csv,137,0x5b17167d70f31d01cc9e7e1c3087a7f027d70dfd7529d6e11aee43832b6615b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,15200000
0x93ecadcb319764b595ae13e60d15707140603aae,0x74b0fd8d2118d7a6ffe81ca44056a166283bdcc4,25113690,transaction,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25113601_25113700/transaction_25113690.csv,193,0x42848c7a0cd0bcd0c74b8f405096460708024f3c957425058989a6e8e0b4f9ba,,759652894717562
0xc9885089114ba707908f095df0b12a1be922ae2e,0x93a5fa85128d68c9cd36b2fbb1c5b1ad3e6b8888,25114611,token_transfer,/media/dheeman/Seagate Backup Plus Drive1/EthereumCode_Mushfiq/EthereumScripts/NotUploadable/Ethereum_TT_25112101_25119300/Transaction_TokenTransfer_25114601_25114700/token_transfer_25114611.csv,151,0x0de8ba5ed03df61681ff60d6040a64a56536c41ecef1db4eecf8592b45cb7d47,0x33ffc177a7278ff84aab314a036bc7b799b7cc15,15174460
