block_number,from_address,to_address,transaction_id,exchange_rate
24956366,0x1d27ad3613e84e201bc87929590f95e75454cdc0,0xe3d41d19564922c9952f692c5dd0563030f5f2ef,0x06e8f5242aa44f43bc550674bc024ee13af836e72503bd8a2d2867cb7f4164e6,2321.4683529300301986640814645735955481942639393257
24956366,0x5c7bcd6e7de5423a257d81b442095a1a6ced35c5,0xc186fa914353c44b2e33ebe05f21846f1048beda,0x5068729e17473e7f41cb754c99a63e4b951e193c6007905ca1428a07fb9424c7,311758.36971818685613905284737294386107571741562366
24956367,0x1d27ad3613e84e201bc87929590f95e75454cdc0,0x28b1dc1a5e3699a428bc51d234dfab7c9cb2a183,0x2f369a3e2a52ea161ab72e52c07059885a8c044e539910c755aa32b4102c7304,452.51552605561806912978999009517657345842395665424
24956367,0xe3d41d19564922c9952f692c5dd0563030f5f2ef,0x1d27ad3613e84e201bc87929590f95e75454cdc0,0x2f369a3e2a52ea161ab72e52c07059885a8c044e539910c755aa32b4102c7304,452.51552605561806912978999009517657345842395665424
24956367,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xd1ee705d774d59541d3d395e72a16e48389df7c7,0x729560ad15ad61fa965d0c7208581c2b181aa240a82c32f1b5cbfdc5ff15c48e,2320.57905
24956368,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0x51fa9a08d14321b31a3c1c17bb8e32f733b489284e13c14352d96735124d1d40,2320.5349525489178367226398808204445850399616239297
24956368,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xaf682de1f2e6f710731121a05a44cb3c1b511f7d,0x2584aafc6fb937bc33c33bb55e496b7f6684f9cd50bc172b557c9828f838cdaa,2320.5097899782815012199873101004435352582698433289
24956368,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,0x1445f32d1a74872ba41f3d8cf4022e9996120b31,0x3d55ad0b289ce66b68320559382c4d989895c06c74be11794630226314808225,2320.5544168059578030373233447631171589794082875301
24956369,0x000000000004444c5dc75cb358380d2e3de08a90,0x0000000aa232009084bd71a5797d089aa4edfad4,0xed83f2246aedaeb19596f6529a4fefe6791843ac4a38dd7e89450502e7fe4dc3,1121.716917225155562224815933099820428191180662815
24956369,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x7f54f05635d15cde17a49502fedb9d1803a3be8a,0xe3127c2166d35b65fe64643cd98c309e6f19995ef1e1b71ed586bc4e55af533f,2320.5057694585463448811682626552000534857681874234
24956369,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x28b1dc1a5e3699a428bc51d234dfab7c9cb2a183,0xf5a04e88ee87de633eb7d4195a037d7304ea3a6c44a3c086b6ee39ceb5eb99e3,2320.4958888888888888888888888888888888888888888889
24956370,0xbee3211ab312a8d065c4fef0247448e17a8da000,0x2c0552e5dcb79b064fd23e358a86810bc5994244,0x462a2989ece49b0e870a0e182a0efffdd7b3a05486c3be71ef0c4bc59ffcfeeb,2320.5364580499885724059947446391658555323517710363
24956372,0x66a9893cc07d91d95644aedd05d03f95e1dba8af,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0xc651744180d2359cc8110bb53e038fba4c9c69b6c5b59bdfe60c189fe54a8732,2320.9796543859962220742110682695266349402739971821
24956372,0xe0554a476a092703abdb3ef35c80e0d76d32939f,0x6a000f20005980200259b80c5102003040001068,0x19d2e033774281098fa31e3f1de4360e35c315e04f512b2eeac80f4db2d4f622,2320.5060786633285613568131797926694512522841889584
